n_timesteps,Step_0-AverageReturn,Time-MAMLSteps,Step_1-PolicyExecTime,Step_1-StdReturn,Time-InnerStep,Step_0-MaxReturn,ItrTime,Time-TotalInner,Itr,Time,Step_0-AveragePolicyStd,Time-Sampling,Step_1-NumTrajs,Step_1-MinReturn,Step_0-PolicyExecTime,Step_1-MaxReturn,Time-OuterStep,Step_0-NumTrajs,Step_1-EnvExecTime,Step_0-EnvExecTime,LossAfter,Step_0-AverageDiscountedReturn,Step_0-StdReturn,Time-SampleProc,Step_1-AverageReturn,Step_1-AverageDiscountedReturn,Step_0-MinReturn,Step_1-AveragePolicyStd,LossBefore,KLCoeffInner,KLInner
2000,15.215855844584079,2.1482810974121094,0.4672062397003174,7.057556941398233,0.29816174507141113,40.85291285513327,3.9677162170410156,1.7287671566009521,0,3.9677329063415527,1.0,1.4076340198516846,33,7.156373477954939,0.23682832717895508,33.12851251159783,2.1481752395629883,35,0.3581230640411377,0.31818509101867676,-0.052612256,13.547094670617762,8.393493854836608,0.022281885147094727,18.001948523035225,15.85022524646144,4.455935486717657,0.99708474,-2.2907665e-08,0.0005,0.06966791
4000,15.817806487811696,0.045770883560180664,0.337146520614624,13.268629619647625,0.003927946090698242,33.644405732746286,1.2776780128479004,1.2292680740356445,1,5.248966932296753,0.9977633,1.2096402645111084,27,3.1572503539613392,0.1482996940612793,59.82828571939998,0.04564976692199707,35,0.34021806716918945,0.3563840389251709,-0.037927333,14.05051508166653,7.476088481509417,0.014952898025512695,25.365700150990804,21.151724734726923,3.0253586120868463,0.99517107,2.0425016e-08,0.0005,0.045313977
6000,21.18071959873404,0.04299187660217285,0.3398563861846924,7.180571697867471,0.004512310028076172,33.0807401705624,1.3227252960205078,1.2774500846862793,2,6.574648141860962,0.99508697,1.2554500102996826,31,7.261418562775019,0.14759182929992676,34.114098659467984,0.042900800704956055,33,0.37445855140686035,0.364011287689209,-0.040978335,18.518052030163265,6.18983238437537,0.016895055770874023,21.73343218809006,18.8929792533365,8.936660589606076,0.9912177,-4.53071e-08,0.0005,0.04402513
8000,22.84395952023842,0.0446319580078125,0.34105443954467773,15.041777636946916,0.004211902618408203,55.85960868857122,1.3187990188598633,1.2718310356140137,3,7.896282911300659,0.9921891,1.2529678344726562,24,14.519217509551599,0.15080690383911133,71.57063308924255,0.04444384574890137,32,0.36249661445617676,0.3673257827758789,-0.028004365,19.684325681228287,9.567273982378302,0.01399850845336914,35.83401884337246,28.984885696820992,8.137309818946132,0.9905884,1.1566927e-08,0.0005,0.04858144
10000,26.77420043241225,0.04361701011657715,0.33849573135375977,14.979587127648296,0.003790140151977539,58.08423517194926,1.321108102798462,1.2748301029205322,4,9.221420049667358,0.99012613,1.254906177520752,28,11.148609261945952,0.14802789688110352,77.3084181746121,0.04351305961608887,29,0.3678879737854004,0.37003231048583984,-0.03091213,22.425857838182118,12.848262957077235,0.015089273452758789,29.050054043416115,23.980753783088627,11.903463744809946,0.9892364,-7.240794e-09,0.0005,0.051065873
12000,29.688615754422212,0.04773092269897461,0.35337305068969727,24.969273078966165,0.0048067569732666016,59.62082145053712,1.3778738975524902,1.3279900550842285,5,10.602130889892578,0.9884122,1.3093469142913818,21,17.694528549417264,0.15056514739990234,133.5768373639743,0.04765009880065918,27,0.39226675033569336,0.38220882415771484,-0.025398862,24.61321701089725,11.48316644122323,0.013293743133544922,44.030547599253,33.90169645618407,8.019690224441621,0.99150294,-1.0539872e-08,0.0005,0.03253869
14000,41.927511389720785,0.04456019401550293,0.3608279228210449,29.664260886426064,0.003712177276611328,133.87968222072186,1.3526420593261719,1.3031821250915527,6,11.958730936050415,0.9870305,1.2851130962371826,20,20.19060458662089,0.14647293090820312,126.86180025652818,0.04446887969970703,22,0.3852705955505371,0.3653123378753662,-0.034128815,31.5032717004403,27.029301442498,0.013750076293945312,50.949475560634546,37.859099967360166,11.880781227101421,0.9846166,1.0745362e-08,0.0005,0.03697812
16000,34.97323858532126,0.045133113861083984,0.3597092628479004,45.54000868768763,0.0036177635192871094,66.22332532442925,1.408987045288086,1.3616960048675537,7,13.37053394317627,0.98550063,1.3453731536865234,20,13.434834131594187,0.1523449420928955,167.18086417699334,0.045023202896118164,26,0.41454005241394043,0.3910970687866211,-0.030411653,28.56880939717846,11.155082123097635,0.012194633483886719,51.51165764926238,35.51233334263385,17.064664600374822,0.984762,-8.133258e-09,0.0005,0.05122753
18000,66.13980222110672,0.049575090408325195,0.42093443870544434,32.1518838136807,0.00521087646484375,142.05183065288324,1.5814440250396729,1.5295557975769043,8,14.9548499584198,0.98445636,1.511641025543213,16,24.70579371768751,0.1710357666015625,122.66563771601255,0.049485206604003906,16,0.46039581298828125,0.4281008243560791,-0.02317941,46.03996816678106,39.750344318786986,0.012061834335327148,64.73607849992554,46.47350024169255,27.106405043942857,0.9866017,-3.682316e-08,0.0005,0.03778062
20000,50.46857986617179,0.05124473571777344,0.44147396087646484,25.313085742569566,0.00446009635925293,119.6140071262359,1.5665810108184814,1.5126960277557373,9,16.524824857711792,0.9832204,1.4966559410095215,17,13.022183455006033,0.15741276741027832,105.09263803535654,0.0511479377746582,18,0.46670103073120117,0.39670252799987793,-0.029910723,38.13451911459012,23.237066643262672,0.010916948318481445,50.94125735712427,38.30558598643567,25.347378857028776,0.98006743,-5.3124136e-09,0.0005,0.04017441
22000,104.64709950546383,0.04803895950317383,0.39215087890625,47.35634618299164,0.0064580440521240234,198.1491610993835,1.5156521797180176,1.464245080947876,10,18.043349981307983,0.9812904,1.4421489238739014,13,37.125803473401035,0.15226197242736816,188.55772714076988,0.04788398742675781,12,0.4514496326446533,0.41547322273254395,-0.0162266,64.30765159323433,42.98189491898719,0.014829158782958984,78.7743287018204,51.0796749115145,46.32891465033658,0.979872,6.2460956e-09,0.0005,0.02213493
24000,117.42661127819817,0.042762041091918945,0.3699474334716797,49.50987115421166,0.006331920623779297,200.5945795258769,1.4954938888549805,1.44992995262146,11,19.541688919067383,0.9787938,1.431668996810913,13,23.34262033811997,0.1720561981201172,168.1627521831848,0.04268193244934082,11,0.40875816345214844,0.4518282413482666,-0.027634924,70.19405258937815,48.206664282656796,0.011314153671264648,98.31173809946743,63.77409176900184,38.1187446302336,0.9764518,-1.1405646e-08,0.0005,0.039381318
26000,92.08437516213725,0.04538607597351074,0.3804361820220947,42.00853598017971,0.005425930023193359,208.83215808377602,1.467073917388916,1.4194648265838623,12,21.011655807495117,0.9770008,1.399907112121582,13,11.650523410158907,0.15848422050476074,147.56747298051005,0.04529118537902832,13,0.41875553131103516,0.4139437675476074,-0.030828469,57.18669975944002,55.41089349087643,0.013466119766235352,68.03012756357865,45.7121360857908,18.438023072698964,0.9758221,-1.4687215e-08,0.0005,0.039402433
28000,117.75687750461026,0.04357504844665527,0.38225364685058594,47.56934292995994,0.006865024566650391,170.32577330165486,1.5301933288574219,1.4844460487365723,13,22.54472589492798,0.97566175,1.4642901420593262,12,19.536050735626404,0.16962647438049316,162.31563098313111,0.04349112510681152,12,0.4254481792449951,0.45725488662719727,-0.02547006,71.94565481092788,45.12541971325451,0.012574195861816406,112.98179496689029,68.99007183312662,32.6402392581306,0.9718679,1.6642721e-08,0.0005,0.031805992
30000,104.26496242720714,0.04610323905944824,0.3624610900878906,46.13932017383417,0.005278825759887695,160.22797237265934,1.545300006866455,1.496595859527588,14,24.093125820159912,0.9749507,1.4777007102966309,14,11.04979759088539,0.17072725296020508,159.63872069959075,0.045990705490112305,14,0.44092702865600586,0.47414398193359375,-0.01600997,66.52551048671457,43.408132425047164,0.012992143630981445,83.10317278400092,55.114422105000564,41.220083913816744,0.97418475,9.043347e-10,0.0005,0.020676825
